# Recording
duration 75.006
nframes 2250
# Camera
framerate 29.997600191984642
imageToStage -0.993727445602417,-0.06086360290646553,0.06086360290646553,-0.993727445602417
rotation -3.080421285766743
imagenormaldir +Z
pixelsize 0.9955896
# Dual color
dualcolormode False
mainside Right
viewmode Splitted
recordingmode Original
translation_x 0.0
translation_y 0.0
rotation 0.0
# Tracking
roi_x 400
roi_y 400
capture_radius 400
min_step 1
threshold 30
binning 4
dark_bg True
mode CMS
area 400
# Frame Time X Y Z minBrightness maxBrightness meanBrightness medianBrightness skewness percentile_5 percentile_95
0 7835172.7 96.23629596365426 79.67003201971025 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
1 7835206.1 96.23629596365426 79.67003201971025 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
2 7835239.4 96.23629596365426 79.67003201971025 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
3 7835272.8 96.2375316242624 79.67003201971025 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
4 7835306.1 96.2375316242624 79.66833592364237 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
5 7835339.4 96.2375316242624 79.66833592364237 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
6 7835372.8 96.23937795815604 79.66833592364237 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
7 7835406.1 96.23937795815604 79.66280808295036 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
8 7835439.4 96.23937795815604 79.66280808295036 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
9 7835472.8 96.23937795815604 79.66280808295036 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
10 7835506.1 96.24662751779844 79.65973579442823 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
11 7835539.4 96.24662751779844 79.65973579442823 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
12 7835572.8 96.24662751779844 79.65973579442823 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
13 7835606.1 96.25205509673079 79.65863432435795 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
14 7835639.5 96.25205509673079 79.65863432435795 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
15 7835672.8 96.25205509673079 79.65863432435795 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
16 7835706.1 96.25963436725888 79.65863432435795 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
17 7835739.5 96.25963436725888 79.66129967290172 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
18 7835772.8 96.25963436725888 79.66129967290172 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
19 7835806.1 96.26134390775474 79.66129967290172 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
20 7835839.5 96.26134390775474 79.66487996314123 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
21 7835872.8 96.26134390775474 79.66487996314123 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
22 7835906.1 96.26134390775474 79.66487996314123 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
23 7835939.5 96.25830041125089 79.66487996314123 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
24 7835972.8 96.25830041125089 79.66487996314123 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
25 7836006.1 96.25830041125089 79.66487996314123 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
26 7836039.5 96.25656996277722 79.66487996314123 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
27 7836072.8 96.25656996277722 79.66487996314123 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
28 7836106.2 96.25656996277722 79.66487996314123 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
29 7836139.5 96.25993803209481 79.66487996314123 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
30 7836172.8 96.25993803209481 79.66164842760499 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
31 7836206.2 96.25993803209481 79.66164842760499 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
32 7836239.5 96.26890845199412 79.6560310567182 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
33 7836272.8 96.26890845199412 79.6560310567182 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
34 7836306.2 96.26890845199412 79.6560310567182 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
35 7836339.5 96.26890845199412 79.6560310567182 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
36 7836372.8 96.27642572547711 79.65362472777042 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
37 7836406.2 96.27642572547711 79.65362472777042 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
38 7836439.5 96.27642572547711 79.65362472777042 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
39 7836472.9 96.28332776381087 79.65362472777042 143.67991210937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
