# Recording
duration 75.006
nframes 2250
# Camera
framerate 29.997600191984642
imageToStage -0.993727445602417,-0.06086360290646553,0.06086360290646553,-0.993727445602417
rotation -3.080421285766743
imagenormaldir +Z
pixelsize 0.9955896
# Dual color
dualcolormode False
mainside Right
viewmode Splitted
recordingmode Original
translation_x 0.0
translation_y 0.0
rotation 0.0
# Tracking
roi_x 400
roi_y 400
capture_radius 400
min_step 1
threshold 30
binning 4
dark_bg True
mode CMS
area 400
# Frame Time X Y Z minBrightness maxBrightness meanBrightness medianBrightness skewness percentile_5 percentile_95
0 7485506.0 98.37792392570447 81.18439302681182 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
1 7485539.4 98.37792392570447 81.18439302681182 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
2 7485572.7 98.38158759606738 81.18439302681182 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
3 7485606.0 98.38158759606738 81.18233131879076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
4 7485639.4 98.38158759606738 81.18233131879076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
5 7485672.7 98.3850995275442 81.18233131879076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
6 7485706.1 98.3850995275442 81.18233131879076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
7 7485739.4 98.3850995275442 81.18233131879076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
8 7485772.7 98.38929785487078 81.18233131879076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
9 7485806.1 98.38929785487078 81.18233131879076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
10 7485839.4 98.38929785487078 81.18233131879076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
11 7485872.7 98.39353795294922 81.18233131879076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
12 7485906.1 98.39353795294922 81.18233131879076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
13 7485939.4 98.39353795294922 81.18233131879076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
14 7485972.7 98.39121627509112 81.18233131879076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
15 7486006.1 98.39121627509112 81.18104487927076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
16 7486039.4 98.39121627509112 81.18104487927076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
17 7486072.7 98.38785330450457 81.18104487927076 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
18 7486106.1 98.38785330450457 81.17540960796099 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
19 7486139.4 98.38785330450457 81.17540960796099 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
20 7486172.8 98.39054240700902 81.17540960796099 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
21 7486206.1 98.39054240700902 81.16928471711225 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
22 7486239.4 98.39054240700902 81.16928471711225 143.59346777343742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
