# Recording
duration 75.006
nframes 2250
# Camera
framerate 29.997600191984642
imageToStage -0.993727445602417,-0.06086360290646553,0.06086360290646553,-0.993727445602417
rotation -3.080421285766743
imagenormaldir +Z
pixelsize 0.9955896
# Dual color
dualcolormode False
mainside Right
viewmode Splitted
recordingmode Original
translation_x 0.0
translation_y 0.0
rotation 0.0
# Tracking
roi_x 400
roi_y 400
capture_radius 400
min_step 1
threshold 30
binning 4
dark_bg True
mode CMS
area 400
# Frame Time X Y Z minBrightness maxBrightness meanBrightness medianBrightness skewness percentile_5 percentile_95
0 10402154.6 93.26704128197743 80.28532088471498 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
1 10402187.9 93.26704128197743 80.28532088471498 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
2 10402221.2 93.26548475724637 80.28532088471498 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
3 10402254.6 93.26548475724637 80.28532088471498 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
4 10402287.9 93.26548475724637 80.28532088471498 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
5 10402321.2 93.26314414953632 80.28532088471498 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
6 10402354.6 93.26314414953632 80.28701661921701 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
7 10402387.9 93.26314414953632 80.28701661921701 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
8 10402421.3 93.26314414953632 80.28701661921701 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
9 10402454.6 93.26140684946472 80.2890226266727 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
10 10402487.9 93.26140684946472 80.2890226266727 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
11 10402521.3 93.26140684946472 80.2890226266727 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
12 10402554.6 93.26001434848058 80.2890226266727 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
13 10402587.9 93.26001434848058 80.2890226266727 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
14 10402621.3 93.26460742571705 80.2890226266727 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
15 10402654.6 93.26460742571705 80.28735030191379 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
16 10402687.9 93.26460742571705 80.28735030191379 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
17 10402721.3 93.2701722319225 80.28735030191379 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
18 10402754.6 93.2701722319225 80.28410118725296 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
19 10402787.9 93.2701722319225 80.28410118725296 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
20 10402821.3 93.2701722319225 80.28410118725296 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
21 10402854.6 93.28036017986929 80.28410118725296 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
22 10402888.0 93.28036017986929 80.27578254357941 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
23 10402921.3 93.28036017986929 80.27578254357941 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
24 10402954.6 93.29703775232964 80.27578254357941 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
25 10402988.0 93.29703775232964 80.26579604142798 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
26 10403021.3 93.29703775232964 80.26579604142798 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
27 10403054.6 93.29703775232964 80.26579604142798 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
28 10403088.0 93.32115828008226 80.26579604142798 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
29 10403121.3 93.32115828008226 80.25333914883078 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
30 10403154.6 93.32115828008226 80.25333914883078 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
31 10403188.0 93.32115828008226 80.25333914883078 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
32 10403221.3 93.36632618259752 80.22721735678665 144.11622656249992 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
