# Recording
duration 75.006
nframes 2250
# Camera
framerate 29.997600191984642
imageToStage -0.993727445602417,-0.06086360290646553,0.06086360290646553,-0.993727445602417
rotation -3.080421285766743
imagenormaldir +Z
pixelsize 0.9955896
# Dual color
dualcolormode False
mainside Right
viewmode Splitted
recordingmode Original
translation_x 0.0
translation_y 0.0
rotation 0.0
# Tracking
roi_x 400
roi_y 400
capture_radius 400
min_step 1
threshold 30
binning 4
dark_bg True
mode CMS
area 400
# Frame Time X Y Z minBrightness maxBrightness meanBrightness medianBrightness skewness percentile_5 percentile_95
0 7108256.9 95.71947048582703 84.93755814495242 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
1 7108290.3 95.71947048582703 84.93755814495242 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
2 7108323.6 95.71947048582703 84.93755814495242 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
3 7108356.9 95.71947048582703 84.93755814495242 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
4 7108390.3 95.72154668218245 84.93755814495242 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
5 7108423.6 95.72154668218245 84.94016588535085 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
6 7108456.9 95.72154668218245 84.94016588535085 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
7 7108490.3 95.72154668218245 84.94016588535085 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
8 7108523.6 95.70420525045105 84.93455589349834 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
9 7108557.0 95.70420525045105 84.93455589349834 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
10 7108590.3 95.70420525045105 84.93455589349834 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
11 7108623.6 95.70420525045105 84.93455589349834 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
12 7108657.0 95.67115298842708 84.92688507239352 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
13 7108690.3 95.67115298842708 84.92688507239352 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
14 7108723.6 95.67115298842708 84.92688507239352 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
15 7108757.0 95.67115298842708 84.92688507239352 143.55154785156245 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
