# Recording
duration 75.006
nframes 2250
# Camera
framerate 29.997600191984642
imageToStage -0.993727445602417,-0.06086360290646553,0.06086360290646553,-0.993727445602417
rotation -3.080421285766743
imagenormaldir +Z
pixelsize 0.9955896
# Dual color
dualcolormode False
mainside Right
viewmode Splitted
recordingmode Original
translation_x 0.0
translation_y 0.0
rotation 0.0
# Tracking
roi_x 400
roi_y 400
capture_radius 400
min_step 1
threshold 30
binning 4
dark_bg True
mode CMS
area 400
# Frame Time X Y Z minBrightness maxBrightness meanBrightness medianBrightness skewness percentile_5 percentile_95
17 8378649.8 97.91568499593619 81.0654771643275 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
18 8378683.1 97.91568499593619 81.0654771643275 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
19 8378716.4 97.91568499593619 81.0654771643275 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
20 8378749.8 97.92043480609233 81.0654771643275 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
21 8378783.1 97.92043480609233 81.08662870759946 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
22 8378816.4 97.92043480609233 81.08662870759946 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
23 8378849.8 97.92043480609233 81.08662870759946 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
24 8378883.1 97.92043480609233 81.08662870759946 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
25 8378916.5 97.93161335631714 81.08662870759946 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
26 8378949.8 97.93161335631714 81.11254019180345 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
27 8378983.1 97.93161335631714 81.11254019180345 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
28 8379016.5 97.93161335631714 81.11254019180345 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
29 8379049.8 97.93161335631714 81.11254019180345 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
30 8379083.1 97.93392439102088 81.12968311984143 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
31 8379116.5 97.93392439102088 81.12968311984143 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
32 8379149.8 97.93392439102088 81.12968311984143 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
33 8379183.1 97.93392439102088 81.12968311984143 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
34 8379216.5 97.93162265993641 81.12968311984143 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
35 8379249.8 97.93162265993641 81.14165932128108 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
36 8379283.1 97.93162265993641 81.14165932128108 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
37 8379316.5 97.92530363915787 81.14165932128108 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
38 8379349.8 97.92530363915787 81.1490730935932 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
39 8379383.2 97.92530363915787 81.1490730935932 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
40 8379416.5 97.92530363915787 81.1490730935932 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
41 8379449.8 97.91522779205538 81.1490730935932 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
42 8379483.2 97.91522779205538 81.15667240333404 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
43 8379516.5 97.91522779205538 81.15667240333404 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
44 8379549.8 97.90311023252119 81.16338419527075 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
45 8379583.2 97.90311023252119 81.16338419527075 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
46 8379616.5 97.90311023252119 81.16338419527075 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
47 8379649.8 97.90311023252119 81.16338419527075 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
48 8379683.2 97.89155686737872 81.16338419527075 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
49 8379716.5 97.89155686737872 81.16810404882052 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
50 8379749.9 97.89155686737872 81.16810404882052 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
51 8379783.2 97.87620577058844 81.16810404882052 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
52 8379816.5 97.87620577058844 81.17498227307165 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
53 8379849.9 97.87607226562494 81.17557226562495 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
54 8379883.2 97.87607226562494 81.17557226562495 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
55 8379916.5 97.86597316619395 81.17557226562495 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
56 8379949.9 97.86597316619395 81.18281469036756 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
57 8379983.2 97.86597316619395 81.18281469036756 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
58 8380016.5 97.86597316619395 81.18281469036756 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
59 8380049.9 97.8748577964209 81.18281469036756 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
60 8380083.2 97.8748577964209 81.18661151129437 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
61 8380116.5 97.8748577964209 81.18661151129437 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
62 8380149.9 97.8748577964209 81.18661151129437 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
63 8380183.2 97.89389287199013 81.18163082643343 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
64 8380216.6 97.89389287199013 81.18163082643343 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
65 8380249.9 97.89389287199013 81.18163082643343 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
66 8380283.2 97.89389287199013 81.18163082643343 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
67 8380316.6 97.92169369876707 81.18163082643343 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
68 8380349.9 97.92169369876707 81.14934386487687 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
69 8380383.2 97.92169369876707 81.14934386487687 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
70 8380416.6 97.92169369876707 81.14934386487687 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
71 8380449.9 97.9346187762354 81.14934386487687 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
72 8380483.2 97.9346187762354 81.10292520890998 144.25476074218744 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
73 8380516.6 97.93461132812494 81.11839746093746 144.22759960937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
74 8380549.9 97.93461132812494 81.11839746093746 144.22759960937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
75 8380583.3 97.93461132812494 81.11839746093746 144.22759960937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
76 8380616.6 97.93052086125972 81.11839746093746 144.22759960937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
77 8380649.9 97.93052086125972 81.07957966744216 144.22759960937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
78 8380683.3 97.93052086125972 81.07957966744216 144.22759960937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
79 8380716.6 97.93052086125972 81.07957966744216 144.22759960937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
80 8380749.9 97.92270248706681 81.07957966744216 144.22759960937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
81 8380783.3 97.92270248706681 81.0285082891023 144.22759960937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
82 8380816.6 97.92270248706681 81.0285082891023 144.22759960937492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
83 8380849.9 97.92270507812495 81.01310156249995 144.29345605468743 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
84 8380883.3 97.92162137015899 81.01310156249995 144.29345605468743 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
85 8380916.6 97.92162137015899 80.98788226768337 144.29345605468743 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
86 8380949.9 97.92162137015899 80.98788226768337 144.29345605468743 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
87 8380983.3 97.92162137015899 80.98788226768337 144.29345605468743 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
88 8381016.6 97.92158886718745 80.98792480468745 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
89 8381050.0 97.92158886718745 80.97031201287079 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
90 8381083.3 97.92158886718745 80.97031201287079 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
91 8381116.6 97.92158886718745 80.97031201287079 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
92 8381150.0 97.92909094492839 80.97031201287079 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
93 8381183.3 97.92909094492839 80.96260537008173 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
94 8381216.6 97.92909094492839 80.96260537008173 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
95 8381250.0 97.94072876008119 80.94332028599527 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
