# Recording
duration 75.006
nframes 2250
# Camera
framerate 29.997600191984642
imageToStage -0.993727445602417,-0.06086360290646553,0.06086360290646553,-0.993727445602417
rotation -3.080421285766743
imagenormaldir +Z
pixelsize 0.9955896
# Dual color
dualcolormode False
mainside Right
viewmode Splitted
recordingmode Original
translation_x 0.0
translation_y 0.0
rotation 0.0
# Tracking
roi_x 400
roi_y 400
capture_radius 400
min_step 1
threshold 30
binning 4
dark_bg True
mode CMS
area 400
# Frame Time X Y Z minBrightness maxBrightness meanBrightness medianBrightness skewness percentile_5 percentile_95
0 8482887.8 95.26460729214992 81.36840189721406 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
1 8482921.1 95.26460729214992 81.36840189721406 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
2 8482954.4 95.26713348119034 81.38588082418916 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
3 8482987.8 95.26713348119034 81.38588082418916 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
4 8483021.1 95.26713348119034 81.38588082418916 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
5 8483054.5 95.26713348119034 81.38588082418916 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
6 8483087.8 95.26844981956164 81.38588082418916 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
7 8483121.1 95.26844981956164 81.39667184868264 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
8 8483154.5 95.26844981956164 81.39667184868264 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
9 8483187.8 95.2668429508023 81.41323692519187 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
10 8483221.1 95.2668429508023 81.41323692519187 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
11 8483254.5 95.2668429508023 81.41323692519187 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
12 8483287.8 95.26443945420117 81.41323692519187 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
13 8483321.1 95.26443945420117 81.42090247793828 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
14 8483354.5 95.26443945420117 81.42090247793828 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
15 8483387.8 95.25797907561278 81.42090247793828 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
16 8483421.1 95.25797907561278 81.43459992679362 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
17 8483454.5 95.25797907561278 81.43459992679362 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
18 8483487.8 95.25366846998506 81.43459992679362 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
19 8483521.2 95.25366846998506 81.44239089227324 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
20 8483554.5 95.25366846998506 81.44239089227324 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
21 8483587.8 95.25366846998506 81.44239089227324 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
22 8483621.2 95.24888231861901 81.44239089227324 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
23 8483654.5 95.24888231861901 81.45539295353693 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
24 8483687.8 95.24888231861901 81.45539295353693 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
25 8483721.2 95.24527808955138 81.45539295353693 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
26 8483754.5 95.24527808955138 81.4638753123634 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
27 8483787.8 95.24527808955138 81.4638753123634 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
28 8483821.2 95.24527808955138 81.4638753123634 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
29 8483854.5 95.2405708043008 81.4638753123634 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
30 8483887.9 95.2405708043008 81.47387528004151 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
31 8483921.2 95.2405708043008 81.47387528004151 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
32 8483954.5 95.2405708043008 81.47387528004151 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
33 8483987.9 95.22524772011803 81.49214758755602 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
34 8484021.2 95.22524772011803 81.49214758755602 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
35 8484054.5 95.22524772011803 81.49214758755602 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
36 8484087.9 95.22524772011803 81.49214758755602 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
37 8484121.2 95.21202116853877 81.49214758755602 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
38 8484154.5 95.21202116853877 81.50229970400997 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
39 8484187.9 95.21202116853877 81.50229970400997 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
40 8484221.2 95.21202116853877 81.50229970400997 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
41 8484254.5 95.20207632535626 81.50229970400997 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
42 8484287.9 95.20207632535626 81.51933090612398 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
43 8484321.2 95.20207632535626 81.51933090612398 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
44 8484354.6 95.20207632535626 81.51933090612398 144.2009345703124 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
